time,addr,asn,length,frameType,slotOffset,frequency,l2Dest,txpower,numTxAttempts,L3Src,L3Dest,L4Proto,L4SrcPort,L4DestPort,succes_rx,succes_ack,list_rx
"2017-07-20 15:30:44,745",0009,72336,45,IEEE154_TYPE_BEACON,0,16,ffff92cc00000001,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000c,IANA_UNDEFINED,155,0,1,0,"['000f', '0006', '0002', '0003', '000d']"
"2017-07-20 15:30:44,825",0008,72347,45,IEEE154_TYPE_BEACON,0,13,ffff92cc00000007,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000008,IANA_UNDEFINED,155,0,1,0,"['0003', '000f', '0007', '0006', '0005', '0002', '000e', '000d']"
"2017-07-20 15:30:44,918",0005,72358,45,IEEE154_TYPE_BEACON,0,25,ffff92cc00000008,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000c,IANA_UNDEFINED,155,0,1,0,"['0004', '000f', '000c', '0007', '0006', '0002']"
"2017-07-20 15:30:45,033",0001,72369,95,IEEE154_TYPE_DATA,0,17,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_ICMPv6,155,0,1,0,"['0002', '000c', '000b']"
"2017-07-20 15:30:45,035",000e,72369,45,IEEE154_TYPE_BEACON,0,17,ffff92cc00000008,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000b,IANA_UNDEFINED,155,0,0,0,[]
"2017-07-20 15:30:45,043",000d,72369,45,IEEE154_TYPE_BEACON,0,17,ffff92cc00000008,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000009,IANA_UNDEFINED,155,0,1,0,"['0008', '0007', '0009', '0005']"
"2017-07-20 15:30:45,098",0004,72380,45,IEEE154_TYPE_BEACON,0,24,ffff92cc00000005,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000f,IANA_UNDEFINED,155,0,1,0,"['000f', '0008', '0007', '0006', '0005', '000b']"
"2017-07-20 15:30:45,186",0002,72391,45,IEEE154_TYPE_BEACON,0,22,ffff92cc00000001,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000001,IANA_UNDEFINED,155,0,1,0,"['0007', '000c', '0009', '0008', '0005', '0003', '0001', '000e']"
"2017-07-20 15:30:45,357",0006,72413,45,IEEE154_TYPE_BEACON,0,14,ffff92cc00000004,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000b,IANA_UNDEFINED,155,0,1,0,"['000c', '0009', '0008', '0005', '0004', '0003', '000b']"
"2017-07-20 15:30:45,442",0003,72424,45,IEEE154_TYPE_BEACON,0,19,ffff92cc00000006,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000d,IANA_UNDEFINED,155,0,1,0,"['000f', '0009', '0008', '0007', '0002']"
"2017-07-20 15:30:45,620",000f,72446,45,IEEE154_TYPE_BEACON,0,20,ffff92cc00000003,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000c,IANA_UNDEFINED,155,0,1,0,"['0006', '0008', '0004', '0007', '0005', '0003']"
