asn,src,dest,owner,ch,slot,queuePos,info
69268,c280,8772,c280,15,125,5,LinkReq rcvd - LinkRep prepared
70283,c280,8772,c280,,,,LinkRep rcvd - Res successful
70283,c280,8772,c280,,,5,LinkRep txed
70444,c280,8772,c280,,,4,linkreq enqueued
70486,c280,8772,,,,4,linkreq txed
70486,c280,8772,c280,4,116,5,LinkReq rcvd - LinkRep prepared
70689,c280,8772,c280,,,,LinkRep rcvd - Res successful
70689,c280,8772,c280,,,5,LinkRep txed
206657,c280,b868,c280,,,1,linkreq enqueued
206755,c280,b868,,,,1,linkreq txed
206755,c280,b868,c280,13,13,1,LinkReq rcvd - LinkRep prepared
208078,c280,b868,c280,,,3,linkreq enqueued
208973,c280,b868,,,,3,LinkReq failed
209192,c280,b868,c280,,,1,LinkRep failed
210108,c280,b868,c280,,,2,linkreq enqueued
210409,c280,b868,,,,2,linkreq txed
210409,c280,b868,c280,7,164,1,LinkReq rcvd - LinkRep prepared
211935,c280,b868,c280,,,6,linkreq enqueued
212844,c280,b868,c280,8,22,3,LinkReq rcvd - LinkRep prepared
212846,c280,b868,c280,,,1,LinkRep failed
212958,b868,c280,8772,,,0,linkreq enqueued
213047,c280,b868,,,,6,linkreq txed
213047,c280,b868,c280,8,22,4,LinkReq rcvd - LinkRep prepared
214980,c280,8772,c280,,,3,linkreq enqueued
215109,c280,8772,,,,3,LinkReq failed
215139,b868,c280,,,,0,LinkReq failed
215183,c280,8772,c280,,,3,linkreq enqueued
215191,b868,c280,8772,,,0,linkreq enqueued
215225,c280,8772,,,,3,linkreq txed
215225,c280,8772,c280,7,86,4,LinkReq rcvd - LinkRep prepared
215281,c280,b868,c280,,,3,LinkRep failed
215484,c280,b868,c280,,,4,LinkRep failed
216456,b868,c280,,,,0,LinkReq failed
216849,c280,8772,c280,,,4,LinkRep txed
217010,c280,8772,c280,,,9,linkreq enqueued
217148,c280,8772,,,,9,LinkReq failed
217213,c280,8772,c280,,,9,linkreq enqueued
217255,c280,8772,,,,9,linkreq txed
217255,c280,8772,c280,14,14,2,LinkReq rcvd - LinkRep prepared
